stimulusType;stimulusValue;stimulusValueType;correctResponse;keyCode;response;keyIndex
L1;L1SU_10.png;image;right;ArrowRight;right;0
L1;L1SR_9.png;image;left;ArrowLeft;left;1
L1;L1SU_8.png;image;right;ArrowRight;right;1
L2;L2SR_7.png;image;left;ArrowLeft;left;0
L2;L2SR_10.png;image;left;ArrowLeft;left;0
L2;L2SU_5.png;image;right;ArrowRight;right;1
L1;L1SR_10.png;image;left;ArrowLeft;left;1
L2;L2SU_2.png;image;right;ArrowRight;right;0
L1;L1SU_5.png;image;right;ArrowRight;right;0
L1;L1SU_1.png;image;right;ArrowRight;right;0
L1;L1SU_9.png;image;right;ArrowRight;right;0
L2;L2SR_6.png;image;left;ArrowLeft;left;1
L1;L1SR_7.png;image;left;ArrowLeft;left;1
L2;L2SU_8.png;image;right;ArrowRight;right;0
L2;L2SU_3.png;image;right;ArrowRight;right;0
L2;L2SU_9.png;image;right;ArrowRight;right;0
L1;L1SR_6.png;image;left;ArrowLeft;left;1
L1;L1SU_6.png;image;right;ArrowRight;right;0
L2;L2SR_8.png;image;left;ArrowLeft;left;1
L2;L2SU_7.png;image;right;ArrowRight;right;0
L1;L1SU_3.png;image;right;ArrowRight;right;0
L2;L2SR_9.png;image;left;ArrowLeft;left;1
L2;L2SR_2.png;image;left;ArrowLeft;left;1
L2;L2SR_5.png;image;left;ArrowLeft;left;1
L1;L1SR_4.png;image;left;ArrowLeft;left;1
L1;L1SU_2.png;image;right;ArrowRight;right;0
L2;L2SU_6.png;image;right;ArrowRight;right;0
L1;L1SR_5.png;image;left;ArrowLeft;left;1
L1;L1SR_1.png;image;left;ArrowLeft;left;1
L1;L1SR_2.png;image;left;ArrowLeft;left;1
L1;L1SR_3.png;image;left;ArrowLeft;left;1
L2;L2SU_1.png;image;right;ArrowRight;right;0
L2;L2SU_10.png;image;right;ArrowRight;right;0
L2;L2SU_4.png;image;right;ArrowRight;right;0
L2;L2SR_4.png;image;left;ArrowLeft;left;1
L1;L1SU_4.png;image;right;ArrowRight;right;0
L1;L1SU_7.png;image;right;ArrowRight;right;0
L2;L2SR_3.png;image;left;ArrowLeft;left;1
L1;L1SR_8.png;image;left;ArrowLeft;left;1
L2;L2SR_1.png;image;left;ArrowLeft;left;1
